"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "42", "ReadersWriters.java:8", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "43", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "44", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "45", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), value=<void>"
"main", "46", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, value=<void>"
"main", "47", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "48", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "49", "ReadersWriters.java:8", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "50", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.run(Ljava/lang/String;Ljava/lang/String;), value=<void>"
"main", "51", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "52", "ReadersWriters.java:8", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "53", "SYSTEM", "Method Returned", ""
"main", "54", "ReadersWriters.java:8", "Method Call", "caller=SYSTEM, target=ReadersWriters#main:1"
"main", "55", "ReadersWriters.java:6", "Method Entered", ""
"main", "56", "ReadersWriters.java:6", "Variable Write", "context=ReadersWriters#main:1, args=java.lang.String[0] (id=38)"
"main", "57", "ReadersWriters.java:8", "Line Step", "file=ReadersWriters.java, line=8"
"main", "58", "SYSTEM", "Type Load", "class=Database"
"main", "59", "ReadersWriters.java:8", "New Object", "object=Database:1"
"main", "60", "ReadersWriters.java:8", "Method Call", "caller=ReadersWriters#main:1, target=Database:1#Database:1"
"main", "61", "ReadersWriters.java:38", "Method Entered", ""
"main", "62", "ReadersWriters.java:37", "Line Step", "file=ReadersWriters.java, line=37"
"main", "63", "ReadersWriters.java:38", "Line Step", "file=ReadersWriters.java, line=38"
"main", "64", "ReadersWriters.java:38", "Field Write", "context=Database:1, data=0"
"main", "65", "ReadersWriters.java:39", "Line Step", "file=ReadersWriters.java, line=39"
"main", "66", "ReadersWriters.java:39", "Field Write", "context=Database:1, r=0"
"main", "67", "ReadersWriters.java:40", "Line Step", "file=ReadersWriters.java, line=40"
"main", "68", "ReadersWriters.java:40", "Field Write", "context=Database:1, w=0"
"main", "69", "ReadersWriters.java:41", "Line Step", "file=ReadersWriters.java, line=41"
"main", "70", "ReadersWriters.java:41", "Field Write", "context=Database:1, ww=0"
"main", "71", "ReadersWriters.java:42", "Line Step", "file=ReadersWriters.java, line=42"
"main", "72", "ReadersWriters.java:42", "Field Write", "context=Database:1, wr=0"
"main", "73", "ReadersWriters.java:44", "Line Step", "file=ReadersWriters.java, line=44"
"main", "74", "ReadersWriters.java:44", "Field Write", "context=Database:1, s1=java.util.concurrent.Semaphore (id=43)"
"main", "75", "ReadersWriters.java:45", "Line Step", "file=ReadersWriters.java, line=45"
"main", "76", "ReadersWriters.java:45", "Field Write", "context=Database:1, s2_r=java.util.concurrent.Semaphore (id=45)"
"main", "77", "ReadersWriters.java:46", "Line Step", "file=ReadersWriters.java, line=46"
"main", "78", "ReadersWriters.java:46", "Field Write", "context=Database:1, s2_w=java.util.concurrent.Semaphore (id=46)"
"main", "79", "ReadersWriters.java:37", "Line Step", "file=ReadersWriters.java, line=37"
"main", "80", "ReadersWriters.java:37", "Method Exit", "returner=Database:1#Database:1, value=<void>"
"main", "81", "ReadersWriters.java:8", "Method Returned", ""
"main", "82", "ReadersWriters.java:8", "Line Step", "file=ReadersWriters.java, line=8"
"main", "83", "ReadersWriters.java:8", "Variable Write", "context=ReadersWriters#main:1, d=Database:1"
"main", "84", "ReadersWriters.java:10", "Line Step", "file=ReadersWriters.java, line=10"
"main", "85", "SYSTEM", "Type Load", "class=java.lang.Thread"
"main", "86", "SYSTEM", "Type Load", "class=Reader"
"main", "87", "ReadersWriters.java:10", "New Object", "object=Reader:1"
"main", "88", "ReadersWriters.java:10", "Method Call", "caller=ReadersWriters#main:1, target=Reader:1#Reader:1"
"main", "89", "ReadersWriters.java:132", "Method Entered", ""
"main", "90", "ReadersWriters.java:132", "Variable Write", "context=Reader:1#Reader:1, d=Database:1"
"main", "91", "ReadersWriters.java:132", "Line Step", "file=ReadersWriters.java, line=132"
"main", "92", "ReadersWriters.java:133", "Line Step", "file=ReadersWriters.java, line=133"
"main", "93", "ReadersWriters.java:133", "Field Write", "context=Reader:1, d=Database:1"
"main", "94", "ReadersWriters.java:134", "Line Step", "file=ReadersWriters.java, line=134"
"main", "95", "ReadersWriters.java:134", "Method Exit", "returner=Reader:1#Reader:1, value=<void>"
"main", "96", "ReadersWriters.java:10", "Method Returned", ""
"main", "97", "ReadersWriters.java:10", "Line Step", "file=ReadersWriters.java, line=10"
"main", "98", "ReadersWriters.java:10", "Variable Write", "context=ReadersWriters#main:1, r1=Reader:1"
"main", "99", "ReadersWriters.java:11", "Line Step", "file=ReadersWriters.java, line=11"
"main", "100", "ReadersWriters.java:11", "New Object", "object=Reader:2"
"main", "101", "ReadersWriters.java:11", "Method Call", "caller=ReadersWriters#main:1, target=Reader:2#Reader:2"
"main", "102", "ReadersWriters.java:132", "Method Entered", ""
"main", "103", "ReadersWriters.java:132", "Variable Write", "context=Reader:2#Reader:2, d=Database:1"
"main", "104", "ReadersWriters.java:132", "Line Step", "file=ReadersWriters.java, line=132"
"main", "105", "ReadersWriters.java:133", "Line Step", "file=ReadersWriters.java, line=133"
"main", "106", "ReadersWriters.java:133", "Field Write", "context=Reader:2, d=Database:1"
"main", "107", "ReadersWriters.java:134", "Line Step", "file=ReadersWriters.java, line=134"
"main", "108", "ReadersWriters.java:134", "Method Exit", "returner=Reader:2#Reader:2, value=<void>"
"main", "109", "ReadersWriters.java:11", "Method Returned", ""
"main", "110", "ReadersWriters.java:11", "Line Step", "file=ReadersWriters.java, line=11"
"main", "111", "ReadersWriters.java:11", "Variable Write", "context=ReadersWriters#main:1, r2=Reader:2"
"main", "112", "ReadersWriters.java:12", "Line Step", "file=ReadersWriters.java, line=12"
"main", "113", "ReadersWriters.java:12", "New Object", "object=Reader:3"
"main", "114", "ReadersWriters.java:12", "Method Call", "caller=ReadersWriters#main:1, target=Reader:3#Reader:3"
"main", "115", "ReadersWriters.java:132", "Method Entered", ""
"main", "116", "ReadersWriters.java:132", "Variable Write", "context=Reader:3#Reader:3, d=Database:1"
"main", "117", "ReadersWriters.java:132", "Line Step", "file=ReadersWriters.java, line=132"
"main", "118", "ReadersWriters.java:133", "Line Step", "file=ReadersWriters.java, line=133"
"main", "119", "ReadersWriters.java:133", "Field Write", "context=Reader:3, d=Database:1"
"main", "120", "ReadersWriters.java:134", "Line Step", "file=ReadersWriters.java, line=134"
"main", "121", "ReadersWriters.java:134", "Method Exit", "returner=Reader:3#Reader:3, value=<void>"
"main", "122", "ReadersWriters.java:12", "Method Returned", ""
"main", "123", "ReadersWriters.java:12", "Line Step", "file=ReadersWriters.java, line=12"
"main", "124", "ReadersWriters.java:12", "Variable Write", "context=ReadersWriters#main:1, r3=Reader:3"
"main", "125", "ReadersWriters.java:13", "Line Step", "file=ReadersWriters.java, line=13"
"main", "126", "ReadersWriters.java:13", "New Object", "object=Reader:4"
"main", "127", "ReadersWriters.java:13", "Method Call", "caller=ReadersWriters#main:1, target=Reader:4#Reader:4"
"main", "128", "ReadersWriters.java:132", "Method Entered", ""
"main", "129", "ReadersWriters.java:132", "Variable Write", "context=Reader:4#Reader:4, d=Database:1"
"main", "130", "ReadersWriters.java:132", "Line Step", "file=ReadersWriters.java, line=132"
"main", "131", "ReadersWriters.java:133", "Line Step", "file=ReadersWriters.java, line=133"
"main", "132", "ReadersWriters.java:133", "Field Write", "context=Reader:4, d=Database:1"
"main", "133", "ReadersWriters.java:134", "Line Step", "file=ReadersWriters.java, line=134"
"main", "134", "ReadersWriters.java:134", "Method Exit", "returner=Reader:4#Reader:4, value=<void>"
"main", "135", "ReadersWriters.java:13", "Method Returned", ""
"main", "136", "ReadersWriters.java:13", "Line Step", "file=ReadersWriters.java, line=13"
"main", "137", "ReadersWriters.java:13", "Variable Write", "context=ReadersWriters#main:1, r4=Reader:4"
"main", "138", "ReadersWriters.java:14", "Line Step", "file=ReadersWriters.java, line=14"
"main", "139", "ReadersWriters.java:14", "New Object", "object=Reader:5"
